arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
21376745,75135891,1,DOV140000397,2014-04-26 00:00:00,1,N,56,5,29,M,1,2,R,,,,,
21347811,75071773,1,14-628-AR,2014-06-16 00:00:00,1,N,56,5,52,M,1,2,N,,,,,
21367832,75118760,1,14-1922-AR,2014-11-28 00:00:00,1,N,56,5,18,M,1,2,N,,,,,
21349886,75074443,1,14-192-AR,2014-06-04 00:00:00,1,N,51,5,39,F,1,2,R,,,,,
21349874,75074426,1,14-174-AR,2014-05-19 00:00:00,1,N,51,5,17,F,1,2,R,R,,,,
21349870,75073693,1,14-157-AR,2014-05-07 00:00:00,1,N,51,5,37,F,1,2,N,,,,,
21349868,75073689,1,14-153-AR,2014-05-03 00:00:00,1,N,51,5,53,M,1,2,N,,,,,
21348826,75072721,1,14-844-AR,2014-07-27 00:00:00,1,N,51,5,50,M,1,2,R,,,,,
21348821,75072714,1,14-84-AR,2014-01-26 00:00:00,1,N,51,5,23,M,1,2,R,,,,,
21348804,75072685,1,14-81-AR,2014-01-25 00:00:00,1,N,51,5,25,M,1,2,R,,,,,
21348800,75072679,1,14-805-AR,2014-07-20 00:00:00,1,N,51,5,33,M,1,2,R,,,,,
21348797,75072677,1,14-802-AR,2014-07-20 00:00:00,1,N,51,5,41,F,1,2,N,,,,,
21348791,75072665,1,14-79-AR,2014-01-24 00:00:00,1,N,51,5,34,M,1,2,R,,,,,
21348785,75072655,1,14-778-AR,2014-07-15 00:00:00,1,N,51,5,25,M,1,2,N,,,,,
21348780,75071896,1,14-76-AR,2014-01-23 00:00:00,1,N,51,5,34,F,1,2,R,,,,,
21348773,75071865,1,14-725-AR,2014-07-06 00:00:00,1,N,51,5,23,M,1,2,R,,,,,
21348770,75071859,1,14-718-AR,2014-07-04 00:00:00,1,N,51,5,17,M,1,2,R,R,,,,
21347768,75070949,2,14-547-AR,2014-05-19 00:00:00,1,N,51,5,24,M,1,2,R,,,,,
21347767,75070949,1,14-546-AR,2014-05-19 00:00:00,1,N,51,5,29,F,1,2,R,,,,,
21347762,75070942,1,14-537-AR,2014-05-15 00:00:00,1,N,51,5,14,M,1,2,R,R,,,,
21347761,75070940,1,14-536-AR,2014-05-15 00:00:00,1,N,51,5,54,M,1,2,R,,,,,
21366618,75116073,1,14-1467-AR,2014-09-05 00:00:00,1,N,51,5,23,M,1,2,R,,,,,
21366598,75116049,1,14-1437-AR,2014-08-31 00:00:00,1,N,51,5,58,M,1,2,R,,,,,
21366595,75116045,1,14-1431-AR,2014-08-31 00:00:00,1,N,51,5,45,M,1,2,R,,,,,
21365541,75115095,1,14-1222-AR,2014-07-24 00:00:00,1,N,51,5,16,F,1,2,R,R,,,,
21365517,75115057,1,14-1188-AR,2014-07-16 00:00:00,1,N,51,5,16,F,1,2,R,R,,,,
21365503,75115042,1,14-1170-AR,2014-07-12 00:00:00,1,N,51,5,48,F,1,2,R,,,,,
21364479,75114163,1,14-1038-AR,2014-06-24 00:00:00,1,N,51,5,23,M,1,2,R,,,,,
21364472,75114153,1,14-1028-AR,2014-06-22 00:00:00,1,N,51,5,17,M,1,2,N,R,,,,
21364470,75114149,1,14-1023-AR,2014-06-21 00:00:00,1,N,51,5,51,M,1,2,N,,,,,
21364442,75113292,1,14-4-AR,2014-01-12 00:00:00,1,N,51,5,45,M,1,2,R,,,,,
21363415,75111497,1,14-608-AR,2014-10-17 00:00:00,1,N,51,5,20,F,1,2,U,,,,,
21363383,75111442,1,14-521-AR,2014-08-30 00:00:00,1,N,51,5,29,M,1,2,N,,,,,
21365474,75114243,1,14-113-AR,2014-01-25 00:00:00,1,N,51,5,30,F,1,2,U,,,,,
21364431,75113263,1,14-32-AR,2014-03-29 00:00:00,1,N,51,5,57,F,1,2,R,,,,,
21364429,75113253,1,14-305-AR,2014-08-29 00:00:00,1,N,51,5,52,F,1,2,N,,,,,
21364399,75112393,1,14-88-AR,2014-02-17 00:00:00,1,N,51,5,36,M,1,2,N,,,,,
21364374,75111559,1,14-700-AR,2014-12-09 00:00:00,1,N,51,5,55,M,1,2,R,,,,,
21363358,75110651,1,14-464-AR,2014-08-10 00:00:00,1,N,51,5,42,M,1,2,R,,,,,
21363343,75110631,1,14-43-AR,2014-01-26 00:00:00,1,N,51,5,29,F,1,2,N,,,,,
21363336,75110623,1,14-42-AR,2014-01-25 00:00:00,1,N,51,5,24,M,1,2,R,,,,,
21363322,75110604,1,14-390-AR,2014-07-11 00:00:00,1,N,51,5,43,M,1,2,R,,,,,
21363320,75110599,1,14-385-AR,2014-07-10 00:00:00,1,N,51,5,33,M,1,2,N,,,,,
21363313,75110587,1,14-365-AR,2014-06-29 00:00:00,1,N,51,5,30,M,1,2,R,,,,,
21363310,75110582,1,14-356-AR,2014-06-28 00:00:00,1,N,51,5,42,M,1,2,N,,,,,
22077592,77245144,2,14-40138-A-A,2014-05-24 00:00:00,1,N,53,5,23,M,2,2,N,,,,,
22077551,77244306,1,14-3866-AR,2014-01-16 00:00:00,1,N,53,5,21,F,2,2,R,,,,,
22077550,77244304,1,14-38612-AR,2014-05-19 00:00:00,1,N,53,5,24,M,2,2,R,,,,,
22075231,77237991,1,14-18398-AR,2014-03-10 00:00:00,1,N,53,5,29,M,2,2,R,,,,,
22015257,77044307,1,14-346-AR,2014-08-16 00:00:00,1,N,53,5,32,F,0,3,N,,,,,
21340998,75051475,1,14-52-AR,2014-03-31 00:00:00,1,N,53,5,51,M,1,2,R,,,,,
21339960,75049754,1,14-74-AR,2014-04-30 00:00:00,1,N,53,5,26,M,1,2,R,,,,,
22027450,77082211,1,14C-031,2014-06-21 00:00:00,3,N,56,5,58,M,1,2,N,,,,,
22026273,77078420,1,14-97-AR,2014-04-23 00:00:00,3,N,56,5,37,F,1,2,R,,,,,
